createdAt,m,pVal.createdAt,pVal.updatedAt,pl.Algo_flag,pl.Humidity,pl.NS,pl.Tempc,pl.Time,pl.m,pl.online,pl.proto,t,updatedAt
2023-06-06T08:35:05.312Z,C8:F0:9E:28:00:CD,,,0,49.90,-68,22.10,14:5:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T08:35:05.312Z
2023-06-06T08:40:05.324Z,C8:F0:9E:28:00:CD,,,0,49.50,-68,22.10,14:10:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T08:40:05.324Z
2023-06-06T08:45:05.362Z,C8:F0:9E:28:00:CD,,,0,50.00,-67,22.20,14:15:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T08:45:05.362Z
2023-06-06T08:50:05.310Z,C8:F0:9E:28:00:CD,,,0,49.80,-70,22.40,14:20:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T08:50:05.310Z
2023-06-06T08:55:05.323Z,C8:F0:9E:28:00:CD,,,0,49.70,-69,22.10,14:25:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T08:55:05.323Z
2023-06-06T09:00:05.308Z,C8:F0:9E:28:00:CD,,,0,49.70,-69,21.90,14:30:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T09:00:05.308Z
2023-06-06T09:05:05.315Z,C8:F0:9E:28:00:CD,,,0,50.30,-67,22.00,14:35:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T09:05:05.315Z
2023-06-06T09:10:05.319Z,C8:F0:9E:28:00:CD,,,0,50.00,-65,21.90,14:40:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T09:10:05.319Z
2023-06-06T09:15:05.315Z,C8:F0:9E:28:00:CD,,,0,50.30,-66,22.00,14:45:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T09:15:05.315Z
2023-06-06T09:20:05.314Z,C8:F0:9E:28:00:CD,,,0,50.00,-67,22.10,14:50:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T09:20:05.314Z
2023-06-06T09:25:05.326Z,C8:F0:9E:28:00:CD,,,0,50.00,-68,22.10,14:55:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T09:25:05.326Z
2023-06-06T09:30:05.325Z,C8:F0:9E:28:00:CD,,,0,49.70,-69,22.20,15:0:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T09:30:05.325Z
2023-06-06T09:35:05.314Z,C8:F0:9E:28:00:CD,,,0,49.50,-68,22.20,15:5:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T09:35:05.314Z
2023-06-06T09:40:05.323Z,C8:F0:9E:28:00:CD,,,0,49.30,-70,22.10,15:10:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T09:40:05.323Z
2023-06-06T09:45:05.323Z,C8:F0:9E:28:00:CD,,,0,48.70,-72,21.90,15:15:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T09:45:05.323Z
2023-06-06T09:50:05.331Z,C8:F0:9E:28:00:CD,,,0,49.40,-69,21.90,15:20:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T09:50:05.331Z
2023-06-06T09:55:05.332Z,C8:F0:9E:28:00:CD,,,0,48.70,-67,21.70,15:25:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T09:55:05.332Z
2023-06-06T10:00:05.329Z,C8:F0:9E:28:00:CD,,,0,48.50,-69,21.60,15:30:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T10:00:05.329Z
2023-06-06T10:05:05.329Z,C8:F0:9E:28:00:CD,,,0,48.80,-70,21.50,15:35:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T10:05:05.329Z
2023-06-06T10:10:05.325Z,C8:F0:9E:28:00:CD,,,0,48.60,-68,21.50,15:40:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T10:10:05.325Z
2023-06-06T10:15:05.336Z,C8:F0:9E:28:00:CD,,,0,48.70,-69,21.70,15:45:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T10:15:05.336Z
2023-06-06T10:20:05.331Z,C8:F0:9E:28:00:CD,,,0,49.50,-69,21.70,15:50:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T10:20:05.331Z
2023-06-06T10:25:05.327Z,C8:F0:9E:28:00:CD,,,0,50.50,-67,21.50,15:55:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T10:25:05.327Z
2023-06-06T10:30:05.338Z,C8:F0:9E:28:00:CD,,,0,50.30,-65,21.60,16:0:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T10:30:05.338Z
2023-06-06T10:35:05.339Z,C8:F0:9E:28:00:CD,,,0,49.70,-64,21.50,16:5:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T10:35:05.339Z
2023-06-06T10:40:05.343Z,C8:F0:9E:28:00:CD,,,0,49.40,-68,21.50,16:10:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T10:40:05.343Z
2023-06-06T10:45:05.332Z,C8:F0:9E:28:00:CD,,,0,48.50,-72,21.50,16:15:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T10:45:05.332Z
2023-06-06T10:50:05.344Z,C8:F0:9E:28:00:CD,,,0,49.20,-64,21.50,16:20:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T10:50:05.344Z
2023-06-06T10:55:05.361Z,C8:F0:9E:28:00:CD,,,0,49.40,-71,21.50,16:25:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T10:55:05.361Z
2023-06-06T11:00:05.343Z,C8:F0:9E:28:00:CD,,,0,49.90,-70,21.70,16:30:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T11:00:05.343Z
2023-06-06T11:05:05.349Z,C8:F0:9E:28:00:CD,,,0,49.40,-72,21.50,16:35:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T11:05:05.349Z
2023-06-06T11:10:05.338Z,C8:F0:9E:28:00:CD,,,0,49.50,-74,21.50,16:40:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T11:10:05.338Z
2023-06-06T11:15:05.339Z,C8:F0:9E:28:00:CD,,,0,48.30,-66,21.50,16:45:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T11:15:05.339Z
2023-06-06T11:20:05.361Z,C8:F0:9E:28:00:CD,,,0,47.80,-70,21.40,16:50:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T11:20:05.361Z
2023-06-06T11:25:05.346Z,C8:F0:9E:28:00:CD,,,0,47.40,-69,21.40,16:55:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T11:25:05.346Z
2023-06-06T11:30:05.338Z,C8:F0:9E:28:00:CD,,,0,52.50,-68,21.80,17:0:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T11:30:05.338Z
2023-06-06T11:35:05.351Z,C8:F0:9E:28:00:CD,,,0,47.50,-70,21.60,17:5:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T11:35:05.351Z
2023-06-06T11:40:05.368Z,C8:F0:9E:28:00:CD,,,0,47.20,-75,21.40,17:10:4 Tue 6 Jun 2023,C8:F0:9E:28:00:CD,online,,p,2023-06-06T11:40:05.368Z
